id,visitor-id,home-id,site-id,date,number,timeofgame,neutral,indoors,postponed-till,makeup-from,conf
200103212macalester,la-verne,macalester,ORANG001,20010321,2,,,,,,
200104241augsburg,macalester,augsburg,MINNE001,20010424,1,,,,,,1
200103221macalester,cal-baptist,macalester,ORANG001,20010322,1,,,,,,
200103211macalester,plattsburgh-st,macalester,ORANG001,20010321,1,,,,,,
200104211macalester,hamline,macalester,STPAU001,20010421,1,,,,,,1
200104282macalester,st-olaf,macalester,STPAU001,20010428,2,,,,,,1
200104101macalester,st-thomas-mn,macalester,STPAU001,20010410,1,,,,,,1
200103062macalester,northwestern-stpaul,macalester,PLYMO001,20010306,2,,,,,,0
200104080carleton,macalester,carleton,STPAU001,20010408,,,,,,,1
200103140minn-morris,macalester,minn-morris,PLYMO001,20010314,,,,,,,0
200103182plattsburgh-st,macalester,plattsburgh-st,ORANG001,20010318,2,,,,,,
200104071saint-marys-mn,macalester,saint-marys-mn,WINON001,20010407,1,,,,,,1
200103191seattle,macalester,seattle,ORANG001,20010319,1,,,,,,
200104262st-benedict,macalester,st-benedict,STJOS001,20010426,2,,,,,,1
200104261st-benedict,macalester,st-benedict,STJOS001,20010426,1,,,,,,1
200104171st-catherine,macalester,st-catherine,STPAU001,20010417,1,,,,,,1
200103172macalester,la-verne,macalester,ORANG001,20010317,2,,,,,,
200104072saint-marys-mn,macalester,saint-marys-mn,WINON001,20010407,2,,,,,,1
200103192williams,macalester,williams,ORANG001,20010319,2,,,,,,
200104242augsburg,macalester,augsburg,MINNE001,20010424,2,,,,,,1
200104181macalester,concordia-m'head,macalester,STPAU001,20010418,1,,,,,,1
200103222macalester,concorida-ca,macalester,ORANG001,20010322,2,,,,,,
200103181macalester,colorado,macalester,ORANG001,20010318,1,,,,,,
200104082carleton,macalester,carleton,STPAU001,20010408,2,,,,,,1
200104182macalester,concordia-m'head,macalester,STPAU001,20010418,2,,,,,,1
200105022bethel-mn,macalester,bethel-mn,ARDEN001,20010502,2,,,,,,1
200104281macalester,st-olaf,macalester,STPAU001,20010428,1,,,,,,1
200105041macalester,gust-adolphus,macalester,STPAU001,20010504,1,,,,,,1
200103171macalester,williams,macalester,ORANG001,20010317,1,,,,,,
200104102macalester,st-thomas-mn,macalester,STPAU001,20010410,2,,,,,,1
200103061macalester,northwestern-stpaul,macalester,PLYMO001,20010306,1,,,,,,0
200105042macalester,gust-adolphus,macalester,STPAU001,20010504,2,,,,,,1
200104172st-catherine,macalester,st-catherine,STPAU001,20010417,2,,,,,,1
200104212macalester,hamline,macalester,STPAU001,20010421,2,,,,,,1
200105021bethel-mn,macalester,bethel-mn,ARDEN001,20010502,1,,,,,,1
