id,last,first,team,years,extra
lang-001,Langer,,saint-marys-mn,2001,
22---001,22,,simon-fraser,2002,
cors-001,Corson,,st-olaf,2002,
konsm001,Konsti,Melissa,st-thomas-mn,2001|2002,
hyndk001,Hyndman,Katie,minn-morris,2001,
gemas001,Gemar,Stephanie,concordia-m'head,2001|2002,
albrj001,Albrecht,Jessica,st-catherine,2002,
herb-001,Herbers,,st-olaf,2002,
brakk001,Brakke,Kristina,concordia-m'head,2001|2002,
fred-001,Frederick,,st-olaf,2002,
hee--001,Hee,,pacific-or,2002,
lync-001,Lynch,,saint-marys-mn,2001|2002,
will-001,Wille,,cornell-college,2002,
stenr001,Stenger,Rachel,st-thomas-mn,2001,
herbt001,Herbers,Theresa,st-olaf,2001,
sara-001,Sarai,,pacific-or,2002,
4----001,4,,northwestern-stpaul,2001,
niel-001,Nielsen,,simon-fraser,2002,
ekho-001,Ekholm,,augsburg,2001,
eric-001,Erickson,,st-benedict,2001,
satr-001,Satre,,augsburg,2001,
robi-001,Robinson,,st-olaf,2002,
jorga001,Jorgensen,Amy,dana,2002,
fageh001,Fagerlie,Holly,northwestern-stpaul,2002,
gone-001,Gonerka,,saint-marys-mn,2001,
budz-001,Budzien,,st-benedict,2001,
zajim001,Zajic,Miriah,macalester,2001|2002,
ohm--001,Ohm,,st-olaf,2002,
istaa001,Ista,Amanda,st-olaf,2001,
gund-001,Gunderson,,carleton,2002,
boni-001,Bonine,,st-olaf,2002,
smitj001,Smith,Jackie,neb-wesleyan,2002,
ebanj001,Ebanks,Jenny,gust-adolphus,2001,
glas-001,Glass,,st-benedict,2002,
jels-001,Jelsing,,st-benedict,2001|2002,
carr-001,Carroll,,carleton,2002,
gunde001,Gunderson,Erin,concordia-m'head,2001|2002,
lallk001,Lallemont,Kari,bethel-mn,2001,
honn-001,Honnette,,carleton,2002,
wilss001,Wilson,Shyla,concordia-m'head,2002,
pete-001,Peters,,augsburg,2001,
thons001,Thonstad,Sheri,gust-adolphus,2001,
knigc001,Knight,Carla,dana,2002,
regej001,Regenscheid,Jamie,gust-adolphus,2001,
brecr001,Breckenridge,Rachel,st-catherine,2001,
bossm001,Boss,Mary,hamline,2001,
boys-001,Boys,,st-benedict,2002,
sancm001,Sanchez,Melissa,st-catherine,2001,
herir001,Hering,Rachel,martin-luther,2002,
munn-001,Munn,,saint-marys-mn,2001,
sawy-001,Sawyer,,st-benedict,2001|2002,
weill001,Weill,Liz,neb-wesleyan,2002,
14---001,14,,northwestern-stpaul,2001,
dezwm001,DeZwarte,Martha,northwestern-stpaul,2002,
websa001,Webster,Amaya,macalester,2001,
laura001,Lauridson,Angie,dana,2002,
ol--n001,Ol,Narith,macalester,2001|2002,
