player-id,game-id,lineup-pos,start,pos,ab,r,h,rbi,bb,so,2b,3b,hr,sb,cs,sh,sf,hbp,po,a,e,pb,p-ip,p-h,p-r,p-er,p-bb,p-so,p-ab,p-bf,p-wp,p-hbp,p-bk,p-w,p-l,p-s
erich001,200205012saint-marys-mn,8,True,p,3,1,0,0,0,1,,,,,,,,,0,0,,,6.0,7,4,3,2,3,25,27,1,,,,1-15,
erich001,200205011saint-marys-mn,10,True,p,0,0,0,0,0,0,,,,,,,,,0,0,,,6.0,10,7,5,4,2,29,33,,,,,1-14,
erich001,200203280cornell-college,10,False,p,0,0,0,0,0,0,,,,,,,,,0,1,,,3.1,4,8,7,7,1,17,24,,,,,,
erich001,200205021st-benedict,10,True,p,0,0,0,0,0,0,,,,,,,,,0,1,,,4.2,10,8,8,2,1,,,1,,,,1,
erich001,200205032macalester,10,True,p,0,0,0,0,0,0,,,,,,,,,1,2,,,7.0,14,7,5,4,3,32,37,3,,,,1-17,
erich001,200203271macalester,10,True,p,0,0,0,0,0,0,,,,,,,,,0,1,1,,5.0,11,10,5,5,4,25,31,,,,,1,
erich001,200203151macalester,10,True,p,0,0,0,0,0,0,,,,,,,,,1,0,,,5.0,3,0,0,0,2,16,19,,,,1-2,,
erich001,200203152macalester,1,False,p,1,0,1,0,0,0,1,,,,,,,,0,0,,,1.0,3,4,4,2,2,6,9,,1,,,,
erich001,200203051northwestern-stpaul,10,True,p,0,0,0,0,0,0,,,,,,,,,1,0,,,4.0,9,8,8,4,6,21,25,2,,,,0-1,
erich001,200203250macalester,10,False,p,0,0,0,0,0,0,,,,,,,,,0,0,,,1.0,2,3,1,2,0,5,9,,,,,1,
erich001,200204132macalester,10,True,p,0,0,0,0,0,0,,,,,,,,,0,4,,,7.0,8,7,0,3,1,30,34,1,,,,1,
erich001,200203250pacific-or,10,True,p,0,0,0,0,0,0,,,,,,,,,0,1,,,6.0,10,7,2,2,1,29,33,2,,,,1,
erich001,200203230macalester,10,True,p,0,0,0,0,0,0,,,,,,,,,0,1,1,,3.0,16,15,15,4,4,25,29,,,,,1,
erich001,200204231macalester,10,True,p,0,0,0,0,0,0,,,,,,,,,0,0,,,0.0,0,0,0,0,0,0,0,,,,,,
erich001,200203111wis-river-falls,10,True,p,0,0,0,0,0,0,,,,,,,,,2,4,,,6.0,7,2,0,0,0,24,25,,,,,0-2,
