player-id,game-id,lineup-pos,start,pos,ab,r,h,rbi,bb,so,2b,3b,hr,sb,cs,sh,sf,hbp,po,a,e,pb,p-ip,p-h,p-r,p-er,p-bb,p-so,p-ab,p-bf,p-wp,p-hbp,p-bk,p-w,p-l,p-s
maink001,200403022northwestern-stpaul,10,True,p,0,0,0,0,0,0,,,,,,,,,0,3,,,6.0,8,3,3,1,1,24,27,,1,,,,
maink001,200403140macalester,10,True,p,0,0,0,0,0,0,,,,,,,,,0,0,,,7.0,5,7,2,2,2,32,34,,,,,0-1,
maink001,200403150macalester,10,False,p,0,0,0,0,0,0,,,,,,,,,0,2,,,5.0,8,2,1,3,1,23,26,,,,1-1,,
maink001,200403150endicott,10,True,p,0,0,0,0,0,0,,,,,,,,,0,1,,,2.1,4,0,0,1,2,12,13,,,,,,
maink001,200403180pine-manor,10,True,p,0,0,0,0,0,0,,,,,,,,,0,3,,,4.0,1,7,3,3,1,17,22,,,,,,
maink001,200404010macalester,10,True,p,0,0,0,0,0,0,,,,,,,,,0,3,,,6.0,7,3,3,4,3,21,29,1,,,,1-2,
maink001,200404031bethel-mn,10,False,p,0,0,0,0,0,0,,,,,,,,,0,1,,,2.0,2,1,1,1,0,7,9,,,,,,
maink001,200404032bethel-mn,10,True,p,0,0,0,0,0,0,,,,,,,,,0,2,,,7.0,8,4,3,4,0,27,32,1,1,,2-1,,
maink001,200404041st-olaf,10,True,p,0,0,0,0,0,0,,,,,,,,,0,2,,,6.0,4,5,1,2,2,24,29,1,1,,,1,
maink001,200404042st-olaf,10,True,p,0,0,0,0,0,0,,,,,,,,,0,1,,,6.0,5,3,3,4,3,23,28,2,,,,1,
maink001,200404091macalester,7,True,dh,2,0,2,0,1,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,
maink001,200404092macalester,6,True,p,1,0,0,0,0,0,,,,,,,,,0,0,,,3.1,10,6,5,0,1,19,20,1,,,,2-6,
maink001,200404152macalester,7,True,dh,2,0,0,0,1,2,,,,,,,,,0,0,,,,,,,,,,,,,,,,
maink001,200404171concordia-m'head,7,True,dh,2,0,0,0,0,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,
maink001,200404172concordia-m'head,10,True,p,0,0,0,0,0,0,,,,,,,,,0,2,,,4.1,5,8,3,3,2,20,24,1,,,,2-8,
maink001,200404182st-catherine,10,True,p,0,0,0,0,0,0,,,,,,,,,0,1,,,2.2,1,4,3,5,0,7,13,,1,,,1,
maink001,200404280macalester,1,False,ph,1,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,
maink001,200404120gust-adolphus,5,True,dh,3,0,1,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,
maink001,200404120gust-adolphus,5,True,dh/p,2,0,0,0,0,0,,,,,,,,,0,1,,,2.0,8,11,10,6,0,14,20,1,,,,1,
maink001,200404070hamline,10,True,p,0,0,0,0,0,0,,,,,,,,,0,0,,,4.0,13,12,3,4,3,26,31,,1,,,2-6,
maink001,200404212macalester,7,True,dh,3,0,0,0,0,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,
maink001,200404231macalester,8,True,dh,2,0,0,0,0,2,,,,,,,,,0,0,,,,,,,,,,,,,,,,
maink001,200404232macalester,10,False,p,0,0,0,0,0,0,,,,,,,,,0,1,,,1.0,0,1,1,0,1,4,6,2,,,,,
