player-id,game-id,lineup-pos,start,pos,ab,r,h,rbi,bb,so,2b,3b,hr,sb,cs,sh,sf,hbp,po,a,e,pb,p-ip,p-h,p-r,p-er,p-bb,p-so,p-ab,p-bf,p-wp,p-hbp,p-bk,p-w,p-l,p-s
somac001,200403021macalester,4,True,c,3,2,1,0,1,0,1,,,,,,,,7,1,,,,,,,,,,,,,,,,
somac001,200403022northwestern-stpaul,4,True,c,3,1,1,2,0,0,,,,,,,,,1,0,,,,,,,,,,,,,,,,
somac001,200403140wm-paterson,4,True,c,2,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,
somac001,200403140macalester,4,True,c,2,0,0,0,1,0,,,,,,,,,3,0,1,,,,,,,,,,,,,,,
somac001,200403150macalester,4,True,c/pr,2,0,1,1,2,0,1,,,,,,,,2,0,,1,,,,,,,,,,,,,,
somac001,200403150endicott,4,True,c,2,0,0,0,0,0,,,,,,,,,3,2,,,,,,,,,,,,,,,,
somac001,200403180macalester,4,True,c,3,0,1,0,0,0,,,,,,,,,4,1,,,,,,,,,,,,,,,,
somac001,200403180pine-manor,4,True,c,3,1,0,0,1,0,,,,,,,,,2,1,,,,,,,,,,,,,,,,
somac001,200403190otterbein,4,True,c,1,2,0,0,2,1,,,,,,,,,5,1,,1,,,,,,,,,,,,,,
somac001,200403190macalester,4,True,c,3,0,0,0,0,3,,,,,,,,,4,2,,,,,,,,,,,,,,,,
somac001,200403311macalester,4,True,c,6,0,1,0,0,2,,,,,,,,,9,1,,,,,,,,,,,,,,,,
somac001,200404010macalester,4,True,c,2,0,0,0,1,0,,,,,,,,,8,2,,,,,,,,,,,,,,,,
somac001,200404031bethel-mn,4,True,c,3,0,0,0,0,2,,,,,,,,,2,2,1,3,,,,,,,,,,,,,,
somac001,200404032bethel-mn,4,True,c,3,0,0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,
somac001,200404041st-olaf,4,True,c,3,0,1,0,0,0,,,,,,,,,3,1,,,,,,,,,,,,,,,,
somac001,200404042st-olaf,4,True,c,2,0,0,0,1,0,,,,,,,,,5,1,,,,,,,,,,,,,,,,
somac001,200404091macalester,4,True,c,3,0,1,0,0,0,1,,,,,,,,4,0,1,,,,,,,,,,,,,,,
somac001,200404092macalester,4,True,c,1,0,0,0,1,0,,,,,,,,,1,2,,,,,,,,,,,,,,,,
somac001,200404151macalester,4,True,c,3,0,1,0,0,0,,,,,,,,,2,1,,,,,,,,,,,,,,,,
somac001,200404152macalester,4,True,c,3,0,0,0,0,1,,,,,,,,,0,1,,,,,,,,,,,,,,,,
somac001,200404171concordia-m'head,4,True,c,3,1,1,0,0,0,,,,1,,,,,7,0,,,,,,,,,,,,,,,,
somac001,200404172concordia-m'head,4,True,c,3,0,2,2,1,0,,,,,,,,,3,0,,,,,,,,,,,,,,,,
somac001,200404181st-catherine,4,True,c,4,1,2,0,0,0,,,,,,,,,4,0,,1,,,,,,,,,,,,,,
somac001,200404182st-catherine,4,True,c,4,0,2,1,0,0,,,,,,,,,2,1,,,,,,,,,,,,,,,,
somac001,200404280macalester,4,True,c,3,0,1,3,1,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,
somac001,200404120gust-adolphus,4,True,c,3,0,1,0,0,1,1,,,,,,,,1,0,,3,,,,,,,,,,,,,,
somac001,200404120gust-adolphus,4,True,c,1,0,0,0,0,0,,,,,,,,,0,0,,2,,,,,,,,,,,,,,
somac001,200404070hamline,4,True,c,2,0,1,1,0,1,,,,,,,,,7,0,,,,,,,,,,,,,,,,
somac001,200404070hamline,4,True,c,3,0,0,0,0,1,,,,,,,,,3,0,,,,,,,,,,,,,,,,
somac001,200404211macalester,4,True,c,3,0,0,0,0,2,,,,,,,,,1,2,1,,,,,,,,,,,,,,,
somac001,200404212macalester,4,True,c,3,0,1,0,0,1,,,,,,,,,3,1,,,,,,,,,,,,,,,,
somac001,200404251macalester,4,True,c,3,0,1,0,0,0,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,
somac001,200404252macalester,4,True,c,2,2,1,0,1,1,,,,,,,,,4,5,1,,,,,,,,,,,,,,,
somac001,200404231macalester,4,True,c,3,0,1,1,0,2,1,,,,,,,,2,2,1,,,,,,,,,,,,,,,
somac001,200404232macalester,4,True,c,2,0,0,0,0,1,,,,,,,,,5,1,,,,,,,,,,,,,,,,
